Age,Income,Dependency_Ratio,Education_ord,Life_Stage
0.7222222222222222,0.19976560432497825,-0.6176086494264795,2,0
0.8888888888888888,-0.15693924615326452,0.5452813214124356,2,4
0.2777777777777778,0.6073116328305168,-0.6176086494264795,2,0
-0.7777777777777778,-0.7526974405504517,0.3209781440507215,2,1
-0.6111111111111112,0.20445351782541302,-0.046780309440381446,4,1
0.16666666666666666,0.3320857434501531,-0.07492156877004615,3,2
-0.05555555555555555,0.12406336244376394,-0.02749025009379363,2,4
-0.8333333333333334,-0.5467921817700654,0.20586859568210616,4,1
-0.2222222222222222,-0.6406411855884465,0.2545146783058092,4,1
1.1111111111111112,-1.3877736191448338,1.0415681561728656,4,3
-0.3333333333333333,-1.3317606139654456,-0.6176086494264795,0,0
0.6111111111111112,0.34781293712903105,-0.6176086494264795,2,0
1.0,0.23654304185096972,0.41474668765939776,3,4
-0.9444444444444444,-1.0346678764507957,-0.6176086494264795,2,0
1.3333333333333333,0.9456580091489925,-0.6176086494264795,4,3
-0.5555555555555556,-0.2928584930626441,0.5989912589294637,2,1
1.3333333333333333,-0.4165589202676647,-0.6176086494264795,2,3
1.1666666666666667,0.7700880874069034,-0.15333449559630866,3,3
-0.8333333333333334,-0.5359646138142226,0.2006118937743705,1,4
-0.6666666666666666,-0.4383350345922649,-0.6176086494264795,2,0
-0.5,-1.484586594079619,1.0415681561728656,2,1
1.1666666666666667,0.213950323239197,-0.04897532828159601,4,3
0.8888888888888888,0.41710332312577975,-0.09216379188573494,4,3
1.0555555555555556,-0.32797247741106195,0.11146047756014522,2,3
0.05555555555555555,-0.9963782087633738,-0.6176086494264795,2,0
-0.3333333333333333,0.055226645495444406,0.4708401675847365,2,1
-1.0555555555555556,-0.3984121583304979,0.13934790469953875,2,1
0.2777777777777778,1.000642697818608,-0.6176086494264795,4,0
-1.0555555555555556,-1.2265396393331065,-0.6176086494264795,3,0
0.3888888888888889,-0.39054856149105893,-0.6176086494264795,3,0
0.0,-0.3322369664662962,0.1130891574689035,2,1
1.0,-0.1488941816944539,0.542260879273092,4,4
1.3333333333333333,0.5179085856867415,-0.6176086494264795,3,3
1.0555555555555556,-0.06484442932214284,0.5116774842066503,3,4
0.0,0.47846962307663227,-0.10393859716380818,4,1
-0.3333333333333333,-0.841253638803826,0.3814438473392174,1,1
-0.16666666666666666,-0.27534686779327816,0.09195355756284393,2,4
1.5,-0.07818229934596045,-0.6176086494264795,4,3
-0.5555555555555556,0.8613058107443953,-0.16688090423256463,2,1
-0.8333333333333334,-0.9367963404030093,0.45654735155964526,3,1
0.7222222222222222,-0.893395334769952,0.4210114878200592,2,2
-0.2777777777777778,-1.3317606139654456,0.9658819936225511,3,1
-0.3333333333333333,0.8591886885183925,-0.6176086494264795,2,0
-1.4444444444444444,-1.3317606139654456,-0.6176086494264795,1,0
0.1111111111111111,-0.29654833465653474,0.0996832194424414,2,2
0.8888888888888888,0.6356508260557256,0.31026285834015943,4,3
0.7222222222222222,0.4220029488488148,-0.09312387289588644,2,4
0.3333333333333333,0.8350534951419606,-0.6176086494264795,3,0
-0.3888888888888889,-0.47614078862802917,0.17276336847565363,2,4
-0.3888888888888889,0.9390646856451552,-0.6176086494264795,2,0
-0.4444444444444444,0.4488299119125931,0.35629531243275037,2,1
0.8333333333333334,0.9330762542058901,-0.6176086494264795,3,0
